frame_idx,timestamp,cx,cy,area,command
557,1764915895.0862443,174,290,45123,FORWARD
558,1764915895.0916238,174,290,45123,FORWARD
559,1764915895.0974534,174,290,45123,FORWARD
560,1764915895.103296,174,290,45123,FORWARD
561,1764915895.1099539,174,290,45123,FORWARD
562,1764915895.1151648,174,290,45123,FORWARD
563,1764915895.1203666,174,290,45123,FORWARD
564,1764915895.1267455,174,290,45123,FORWARD
565,1764915895.1323254,174,290,45123,FORWARD
566,1764915895.1381664,174,290,45123,FORWARD
567,1764915895.144621,174,290,45123,FORWARD
568,1764915895.1500907,174,290,45123,FORWARD
569,1764915895.156614,174,290,45123,FORWARD
570,1764915895.162893,174,290,45123,FORWARD
571,1764915895.1685896,174,290,45123,FORWARD
572,1764915895.174692,174,290,45123,FORWARD
573,1764915895.181456,174,290,45123,FORWARD
574,1764915895.1871517,174,290,45123,FORWARD
575,1764915895.1938741,174,290,45123,FORWARD
576,1764915895.1990201,174,290,45123,FORWARD
577,1764915895.2050903,174,290,45123,FORWARD
578,1764915895.211082,174,290,45123,FORWARD
579,1764915895.2161562,174,290,45123,FORWARD
580,1764915895.2214303,174,290,45123,FORWARD
581,1764915895.2274084,174,290,45123,FORWARD
582,1764915895.232639,174,290,45123,FORWARD
